week,total_sessions,total_revenue,total_transactions,conversion_rate,revenue_per_session
1,14068,25816.260000000002,167,1.1870912709695762,1.8351052032982658
2,14033,22880.98,147,1.0475308202095062,1.6305123637141024
3,14136,21909.04,151,1.0681946802490097,1.549875495189587
4,16472,21692.05,162,0.9834871296745993,1.316904443904808
5,14691,28819.29,187,1.2728881628207744,1.9616969573208087
6,15712,23036.95,155,0.9865071283095723,1.4662009928716904
7,16540,43403.03,245,1.4812575574365174,2.6241251511487302
8,15171,25145.27,162,1.0678267747676489,1.6574563311581307
9,15098,28860.81,267,1.7684461518081864,1.9115651079613194
10,15344,25288.42,182,1.1861313868613137,1.6480982794577683
11,15285,27449.96,207,1.354268891069676,1.7958756951259405
12,16277,47118.119999999995,200,1.2287276525158197,2.894766848927935
13,16657,31741.329999999998,222,1.3327730083448401,1.905585039322807
14,16519,84221.8,226,1.3681215569949754,5.098480537562807
15,14515,26424.74,216,1.4881157423355151,1.820512573200138
16,14811,73717.59999999999,237,1.6001620417257445,4.977219634055769
17,17250,36833.770000000004,254,1.472463768115942,2.1352910144927537
18,15289,32536.71,330,2.1584145464059126,2.1281123683694156
19,12848,34693.41,273,2.1248443337484435,2.7002965442092157
20,17013,27553.739999999998,259,1.5223652501028626,1.6195697407864573
21,13985,20183.54,185,1.3228459063282088,1.443227744011441
22,14185,31673.52,215,1.515685583362707,2.2328882622488546
23,14470,19707.87,206,1.4236351071181756,1.3619813407049066
24,14147,45028.91,273,1.929737753587333,3.1829299498126815
25,14102,28542.26,208,1.4749680896326762,2.0239866685576513
26,16853,24804.41,193,1.1451967008841155,1.4718097668070966
27,15757,20410.74,168,1.0661928031985786,1.295344291426033
28,16568,41209.8,294,1.7745050700144858,2.48731289232255
29,16774,57066.46,278,1.6573268153094074,3.402078216287111
30,16150,29438.940000000002,259,1.6037151702786376,1.8228445820433439
31,5176,20724.39,107,2.0672333848531683,4.003939335394127
52,1364,993.01,11,0.8064516129032258,0.7280131964809384
